id,name,code,parentId,geonameId,latitude,longitude,population,elevation
AD.06,Sant Julia de Loria,06,AD,3039162,42.46247,1.48247,9448,
AD.05,Ordino,05,AD,3039676,42.59758,1.52573,3467,
AD.04,La Massana,04,AD,3040131,42.55417,1.48333,8953,
AD.03,Encamp,03,AD,3040684,42.53333,1.63333,13685,
AD.02,Canillo,02,AD,3041203,42.58333,1.65833,567,
AD.07,Andorra la Vella,07,AD,3041566,42.5045,1.49414,24211,
AD.08,Escaldes-Engordany,08,AD,3338529,42.5,1.56667,16391,
AE.07,Imarat Umm al Qaywayn,07,AE,290595,25.5,55.75,56253,
AE.05,Imarat Ra's al Khaymah,05,AE,291075,25.66667,56,187535,
AE.03,Dubai,03,AE,292224,25,55.33333,1141963,
AE.06,Sharjah,06,AE,292673,25.31763,55.44057,62183,
AE.04,Fujairah,04,AE,292879,25.13333,56.25,113316,
AE.02,Ajman,02,AE,292933,25.38333,55.51667,23495,
AE.01,Abu Dhabi,01,AE,292969,23.66667,54,1395899,
AF.28,Zabul,28,AF,1121143,32.25,67.25,444585,
AF.27,Vardak,27,AF,1121863,34.25,68,34248,
AF.26,Takhar,26,AF,1123230,36.66667,69.75,9337,
AF.33,Sar-e Pol,33,AF,1127106,35.83333,66.16667,727277,
AF.32,Samangan,32,AF,1127766,36,67.66667,599331,
AF.40,Parwan,40,AF,1131054,35,68.91667,786152,
AF.29,Paktika,29,AF,1131256,32.41667,68.75,47674,
AF.36,Paktia,36,AF,1131257,33.66667,69.33333,53572,
AF.39,Oruzgan,39,AF,1131461,32.83333,66,31867,
AF.19,Nimroz,19,AF,1131821,31,62.5,23486,
AF.18,Nangarhar,18,AF,1132366,34.33333,70.41667,1538444,
AF.17,Logar,17,AF,1134561,34,69.25,3731,
AF.35,Laghman,35,AF,1135022,34.78333,70.18333,651326,
AF.24,Kunduz,24,AF,1135690,36.75,68.75,718823,
AF.34,Kunar,34,AF,1135702,34.95,71.13333,562411,
AF.14,Kapisa,14,AF,1138255,35,69.58333,472584,
AF.23,Kandahar,23,AF,1138335,31,65.75,1665487,
AF.13,Kabul,13,AF,1138957,34.5,69.41667,3138338,
AF.31,Jowzjan,31,AF,1139049,36.83333,65.83333,747618,
AF.11,Herat,11,AF,1140025,34.5,62,1382139,
AF.10,Helmand,10,AF,1140043,31,64,925666,
AF.09,Ghowr,09,AF,1141103,34,65,6572,
AF.08,Ghazni,08,AF,1141268,33.33333,67.75,11688,
AF.07,Faryab,07,AF,1142226,36.25,64.83333,913866,
AF.06,Farah,06,AF,1142263,32.5,62.5,47939,
AF.05,Bamyan,05,AF,1147239,34.75,67.25,484648,
AF.30,Balkh,30,AF,1147288,36.75,67,12451,
AF.03,Baghlan,03,AF,1147537,35.75,69,872234,
AF.02,Badghis,02,AF,1147707,35,63.75,792155,
AF.01,Badakhshan,01,AF,1147745,36.75,72,162937,
AF.37,Khowst,37,AF,1444362,33.38333,69.88333,283283,
AF.38,Nuristan,38,AF,1444363,35.3,70.83333,13,
AF.41,Daykundi,41,AF,6957553,33.75,66.25,44,
AF.42,Panjshir,42,AF,6957555,35.40248,69.98291,1461,
AG.08,Saint Philip,08,AG,3576015,17.05,-61.71667,3599,
AG.07,Saint Peter,07,AG,3576016,17.08925,-61.74819,4321,
AG.06,Saint Paul,06,AG,3576017,17.03333,-61.76667,7325,
AG.05,Saint Mary,05,AG,3576018,17.05,-61.85,636,
AG.04,Saint John,04,AG,3576023,17.1,-61.85,42721,
AG.03,Saint George,03,AG,3576024,17.1227,-61.79679,5393,
AG.09,Redonda,09,AG,3576037,16.93889,-62.34556,,
AG.01,Barbuda,01,AG,3576390,17.63333,-61.8,1638,
AI.11205389,Blowing Point,11205389,AI,11205389,18.177,-63.09161,942,
AI.11205392,Sandy Ground,11205392,AI,11205392,18.20399,-63.08993,274,
AI.11205393,Sandy Hill,11205393,AI,11205393,18.22066,-63.01178,118,
AI.11205396,The Valley,11205396,AI,11205396,18.21475,-63.05706,167,
AI.11205433,East End,11205433,AI,11205433,18.234,-62.99728,71,
AI.11205436,North Hill,11205436,AI,11205436,18.20603,-63.07607,526,
AI.11205437,West End,11205437,AI,11205437,18.17138,-63.15113,115,
AI.11205438,South Hill,11205438,AI,11205438,18.19177,-63.0898,1495,
AI.11205439,The Quarter,11205439,AI,11205439,18.21158,-63.04504,1737,
AI.11205440,North Side,11205440,AI,11205440,18.22931,-63.0468,2592,
AI.11205441,Island Harbour,11205441,AI,11205441,18.25617,-63.00724,1114,
AI.11205442,George Hill,11205442,AI,11205442,18.19943,-63.06517,1135,
AI.11205443,Stoney Ground,11205443,AI,11205443,18.22112,-63.04466,1545,
AI.11205444,The Farrington,11205444,AI,11205444,18.21533,-63.02123,12,
AL.40,Berat,40,AL,865730,40.63333,20.08333,141944,
AL.41,Diber,41,AL,865731,41.6,20.23333,13747,
AL.43,Elbasan,43,AL,865732,41.06667,20.2,295827,
AL.45,Gjirokaster,45,AL,865733,40.21667,20.2,72,
AL.46,Korce,46,AL,865734,40.61667,20.66667,22357,
AL.47,Kukes,47,AL,865735,42.2,20.36667,85292,
AL.42,Durres,42,AL,3344947,41.48333,19.61667,262785,
AL.44,Fier,44,AL,3344948,40.76667,19.61667,31331,
AL.48,Lezhe,48,AL,3344949,41.8,19.86667,13427,
AL.49,Shkoder,49,AL,3344950,42.18333,19.75,2,
AL.50,Tirana,50,AL,3344951,41.26667,19.78333,749365,
AL.51,Vlore,51,AL,3344952,40.16667,19.8,19,
AM.02,Ararat,02,AM,409313,39.91667,44.83333,26367,
AM.08,Syunik,08,AM,409314,39.33333,46.25,141771,
AM.10,Vayots Dzor,10,AM,409315,39.75,45.41667,52846,
AM.11,Yerevan,11,AM,616051,40.18333,44.5,16138,
AM.01,Aragatsotn,01,AM,828259,40.41667,44.16667,132925,
AM.03,Armavir,03,AM,828260,40.11667,44,26577,
AM.04,Gegharkunik,04,AM,828261,40.25,45.41667,23575,
AM.05,Kotayk,05,AM,828262,40.41667,44.75,254397,
AM.06,Lori,06,AM,828263,41,44.5,235537,
AM.07,Shirak,07,AM,828264,40.75,43.83333,251941,
AM.09,Tavush,09,AM,828265,40.91667,45.16667,12869,
AO.18,Lunda Sul,18,AO,145701,-10.25918,20.62489,51677,
AO.17,Luanda Norte,17,AO,145702,-8.63543,19.64852,79995,
AO.14,Moxico,14,AO,875996,-12.84869,20.93266,727594,
AO.04,Cuando Cobango,04,AO,876337,-15.94761,19.3832,13,
AO.16,Zaire,16,AO,2236355,-6.58717,13.51966,567225,
AO.15,Uige,15,AO,2236566,-7.10719,15.44056,1426354,
AO.12,Malanje,12,AO,2239858,-9.67548,16.82553,968135,
AO.20,Luanda,20,AO,2240444,-8.91667,13.33924,6542942,
AO.05,Cuanza Norte,05,AO,2241660,-8.91136,14.8887,42357,
AO.03,Cabinda,03,AO,2243266,-4.93423,12.40532,688285,
AO.19,Bengo,19,AO,2243598,-8.97504,13.82743,351579,
AO.13,Namibe,13,AO,3347016,-15.33207,12.66002,471613,
AO.09,Huila,09,AO,3348303,-14.69531,15.00014,2354398,
AO.08,Huambo,08,AO,3348310,-12.5,15.66667,1896147,
AO.07,Cunene,07,AO,3349096,-16.51009,15.43526,965288,
AO.06,Kwanza Sul,06,AO,3349234,-10.82696,15.03197,653121,
AO.02,Bie,02,AO,3351640,-12.34989,17.3031,1338923,
AO.01,Benguela,01,AO,3351660,-12.85399,13.92825,236662,
AR.14,Misiones,14,AR,3430657,-26.81427,-54.34387,965522,190
AR.09,Formosa,09,AR,3433896,-25,-60,486559,
AR.07,Buenos Aires F.D.,07,AR,3433955,-34.6,-58.45,2776138,
AR.08,Entre Rios,08,AR,3434137,-32,-59,1158147,
AR.06,Corrientes,06,AR,3435214,-29,-58,93991,
AR.01,Buenos Aires,01,AR,3435907,-36,-60,1562584,
AR.24,Tucuman,24,AR,3833578,-27,-65.5,1338523,
AR.23,Tierra del Fuego,23,AR,3834450,-54.5,-67,1179,
AR.22,Santiago del Estero,22,AR,3835868,-28,-63.5,84457,
AR.21,Santa Fe,21,AR,3836276,-31,-61,371,
AR.20,Santa Cruz,20,AR,3836350,-49,-70,196958,
AR.19,San Luis,19,AR,3837029,-34,-66,367933,
AR.18,San Juan,18,AR,3837152,-31,-69,6223,
AR.17,Salta,17,AR,3838231,-24.75806,-65.43457,17951,
AR.16,Rio Negro,16,AR,3838830,-40,-67,552822,
AR.15,Neuquen,15,AR,3843122,-39,-70,474155,
AR.13,Mendoza,13,AR,3844419,-34.5,-68.5,1579651,
AR.12,La Rioja,12,AR,3848949,-29.58333,-67,289983,
AR.11,La Pampa,11,AR,3849574,-37,-66,299294,
AR.10,Jujuy,10,AR,3853404,-23,-66,611888,
AR.05,Cordoba,05,AR,3860255,-32,-64,36681,
AR.04,Chubut,04,AR,3861244,-44,-69,413237,
AR.03,Chaco,03,AR,3861887,-26.33333,-60.5,984446,
AR.02,Catamarca,02,AR,3862286,-27,-67,334568,
AS.050,Western District,050,AS,5880873,-14.31667,-170.76667,32435,377
AS.040,Swains Island,040,AS,5881199,-11.056,-171.082,37,
AS.010,Eastern District,010,AS,5881219,-14.26667,-170.65,23441,22
AS.020,Manu'a,020,AS,5881436,-14.23327,-169.47458,14,73
