stateFips,countyFips,cases,date,deaths
39,061,0,2020-01-22,1
53,033,1,2020-01-22,0
39,061,0,2020-01-23,1
53,033,1,2020-01-23,0
17,031,1,2020-01-24,0
39,061,0,2020-01-24,1
53,033,1,2020-01-24,0
17,031,1,2020-01-25,0
39,061,0,2020-01-25,1
53,033,1,2020-01-25,0
04,013,1,2020-01-26,0
06,037,1,2020-01-26,0
06,059,1,2020-01-26,0
17,031,1,2020-01-26,0
39,061,0,2020-01-26,1
53,033,1,2020-01-26,0
04,013,1,2020-01-27,0
06,037,1,2020-01-27,0
06,059,1,2020-01-27,0
17,031,1,2020-01-27,0
39,061,0,2020-01-27,1
53,033,1,2020-01-27,0
04,013,1,2020-01-28,0
06,037,1,2020-01-28,0
06,059,1,2020-01-28,0
17,031,1,2020-01-28,0
39,061,0,2020-01-28,1
53,033,1,2020-01-28,0
04,013,1,2020-01-29,0
06,037,1,2020-01-29,0
06,059,1,2020-01-29,0
17,031,1,2020-01-29,0
25,025,1,2020-01-29,0
39,061,0,2020-01-29,1
53,033,1,2020-01-29,0
04,013,1,2020-01-30,0
06,037,1,2020-01-30,0
06,059,1,2020-01-30,0
17,031,1,2020-01-30,0
25,025,1,2020-01-30,0
39,061,0,2020-01-30,1
53,033,1,2020-01-30,0
04,013,1,2020-01-31,0
06,037,1,2020-01-31,0
06,059,1,2020-01-31,0
06,085,1,2020-01-31,0
17,031,2,2020-01-31,0
25,025,1,2020-01-31,0
39,061,0,2020-01-31,1
53,033,1,2020-01-31,0
04,013,1,2020-02-01,0
06,037,1,2020-02-01,0
06,059,1,2020-02-01,0
06,085,1,2020-02-01,0
17,031,2,2020-02-01,0
25,025,1,2020-02-01,0
39,061,0,2020-02-01,1
53,033,1,2020-02-01,0
04,013,1,2020-02-02,0
06,037,1,2020-02-02,0
06,059,1,2020-02-02,0
06,085,1,2020-02-02,0
17,031,2,2020-02-02,0
25,025,1,2020-02-02,0
39,061,0,2020-02-02,1
